"","street","zipcode","price","PublishedDate","buildKind","ConstructionYear","LivingArea","ExStorage","LotArea","Volume","Rooms","Bathrooms","Levels","EnergyLable","Insulation","Heating","Location","Garden","GardenArea","GardenAim","Storage"
"927","
        
              Hondsrug 801
        
            ","
            3524 BZ Utrecht

        ","
    € 295.000 kosten koper
        
            
        
","24-4-2021","
    Bestaande bouw
","
    1983
        
            
        
","
    85 m²
","
    32 m²
,
    8 m²
","
    273 m³
","
    273 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In woonwijk
","
    Voortuin en zonneterras
","
    30 m² (5,4 meter diep en 5,55 meter breed)
","
    Gelegen op het zuidoosten
","
    Inpandig
"
"928","
        
              van Noremborghstraat 115
        
            ","
            5212 NC Den Bosch

        ","
    € 385.000 kosten koper
        
            
        
","22-4-2021","
    Bestaande bouw
","
    1925
        
            
        
","
    112 m²
","
    22 m²
","
    370 m³
","
    370 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    4 woonlagen
","
        E
        
             Wat betekent dit?
","
    Grotendeels dubbelglas
","
    Heteluchtverwarming
","
    In woonwijk
","
    Zonneterras
","
    12 m² (2,6 meter diep en 4,7 meter breed)
","
    Gelegen op het zuidwesten bereikbaar via achterom
","
    Parkeervergunningen
"
"929","
        
              Korenschoofstraat 2
        
            ","
            3513 DG Utrecht

        ","
    € 695.000 kosten koper
        
            
        
","22-4-2021","
    Bestaande bouw
","
    2017
        
            
        
","
    116 m²
","
    8 m²
,
    8 m²
,
    13 m²
","
    489 m³
","
    489 m³
","
    3 kamers (2 slaapkamers)
","
    2 badkamers
","
    2 woonlagen
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Stadsverwarming en gehele vloerverwarming
","
    Aan water, in centrum en in woonwijk
","
    Balkon aanwezig en frans balkon aanwezig
",NA,NA,"
    Inpandig
"
"930","
        
              Bankastraat 25
        
            ","
            3531 HG Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","22-4-2021","
    Bestaande bouw
","
    1920
        
            
        
","
    71 m²
","
    12 m²
","
    256 m³
","
    256 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Patio/atrium
","
    12 m² (3,79 meter diep en 3,27 meter breed)
","
    Gelegen op het noorden
","
    Betaald parkeren en parkeervergunningen
"
"931","
        
              Prattenburg 51
        
            ","
            2036 SC Haarlem

        ","
    € 289.000 kosten koper
        
            
        
","20-4-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    95 m²
","
    17 m²
,
    6 m²
","
    301 m³
","
    301 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3e woonlaag
","
        C
        
             Wat betekent dit?
","
    Dakisolatie en dubbel glas
","
    Blokverwarming
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"932","
        
              Einsteindreef 35
        
            ","
            3562 XR Utrecht

        ","
    € 320.000 kosten koper
        
            
        
","16-4-2021","
    Bestaande bouw
","
    1998
        
            
        
","
    80 m²
","
    6 m²
,
    17 m²
","
    249 m³
","
    249 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    In woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"933","
        
              Zierikzeestraat 33
        
            ","
            5036 XH Tilburg

        ","
    € 525.000 kosten koper
        
            
        
","16-4-2021","
    Bestaande bouw
","
    2017
        
            
        
","
    140 m²
","
    10 m²
","
    235 m²
","
    235 m²
,
    521 m³
","
    6 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        A
        
             Wat betekent dit?
","
    Stadsverwarming
","
    Stadsverwarming
","
    Achtertuin en voortuin
","
    89 m² (10 meter diep en 8,85 meter breed)
","
    Gelegen op het noorden
",NA,"
    Aangebouwde houten berging
"
"934","
        
              Brouwersplein 26 zw
        
            ","
            2013 PG Haarlem

        ","
    € 425.000 kosten koper
        
            
        
","16-4-2021","
    Bestaande bouw
","
    1915
        
            
        
","
    75 m²
","
    4 m²
","
    250 m³
","
    250 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
            1,50
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Achtertuin
","
    42 m² (12,5 meter diep en 6 meter breed)
","
    Gelegen op het westen
",NA,"
    Vrijstaande houten berging
"
"935","
        
              Fahrenheitlaan 16
        
            ","
            3553 HX Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","17-4-2021","
    Bestaande bouw
","
    1955
        
            
        
","
    76 m²
","
    6 m²
,
    3 m²
","
    242 m³
","
    242 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"936","
        
              Busken Huetstraat 20
        
            ","
            3532 GV Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","16-4-2021","
    Bestaande bouw
","
    1920
        
            
        
","
    60 m²
","
    5 m²
","
    189 m³
","
    189 m³
","
    3 kamers (1 slaapkamer)
","
    1 badkamer
","
    3 woonlagen
","
        D
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In woonwijk
",NA,NA,NA,"
    Inpandig
"
"937","
        
              Herenweg 59
        
            ","
            3513 CC Utrecht

        ","
    € 389.000 kosten koper
        
            
        
","15-4-2021","
    Bestaande bouw
","
    1906-1930
        
            
        
","
    72 m²
","
    11 m²
","
    350 m³
","
    350 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Gedeeltelijk dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Achtertuin en zonneterras
","
    22 m² (11,15 meter diep en 2,1 meter breed)
","
    Gelegen op het zuidwesten
","
    Inpandig
"
"938","
        
              Van den Broekstraat 62
        
            ","
            3544 MV Utrecht

        ","
    € 425.000 kosten koper
        
            
        
","15-4-2021","
    Bestaande bouw
","
    2007
        
            
        
","
    117 m²
","
    17 m²
,
    20 m²
","
    492 m³
","
    492 m³
","
    5 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Stadsverwarming
","
    Aan rustige weg en in woonwijk
","
    Zonneterras
","
    20 m² (4,58 meter diep en 4,43 meter breed)
","
    Gelegen op het noordwesten
","
    Aangebouwde stenen berging
"
"939","
        
              Samuel Morsestraat 2
        
            ","
            5223 BB Den Bosch

        ","
    € 349.000 kosten koper
        
            
        
","13-4-2021","
    Bestaande bouw
","
    1995
        
            
        
","
    90 m²
","
    12 m²
,
    6 m²
","
    290 m³
","
    290 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        C
            1,37
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, HR-glas en muurisolatie
","
    Cv-ketel
","
    Balkon aanwezig en frans balkon aanwezig
",NA,NA,NA,"
    Inpandig
"
"940","
        
              Burgemeester van Tuyllkade 57 bis
        
            ","
            3553 AC Utrecht

        ","
    € 300.000 kosten koper
        
            
        
","13-4-2021","
    Bestaande bouw
","
    1946
        
            
        
","
    84 m²
","
    8 m²
,
    6 m²
","
    258 m³
","
    258 m³
","
    4 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        E
        
             Wat betekent dit?
","
    Grotendeels dubbelglas
","
    Cv-ketel
","
    Vrijstaande stenen berging
","
    Elektra
",NA,NA,NA
"941","
        
              Dokter Tombrocklaan 26
        
            ","
            5056 NK Berkel-Enschot

        ","
    € 750.000 kosten koper
        
            
        
","11-4-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    210 m²
","
    10 m²
,
    33 m²
","
    655 m²
","
    655 m²
,
    696 m³
","
    6 kamers (5 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    3 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel en gashaard
","
    Aan rustige weg en in woonwijk
","
    Tuin rondom
","
    Balkon aanwezig
",NA,"
    Vrijstaande stenen garage
"
"942","
        
              Rubenslaan 59 1
        
            ","
            3582 JC Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","12-4-2021","
    Bestaande bouw
","
    1955
        
            
        
","
    73 m²
","
    1 m²
,
    8 m²
,
    13 m²
","
    233 m³
","
    233 m³
","
    4 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    Open ligging en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"943","
        
              Spaarndamseweg 386 25
        
            ","
            2022 EA Haarlem

        ","
    € 215.000 kosten koper
        
            
        
","10-4-2021","
    Bestaande bouw
","
    1976
        
            
        
","
    46 m²
","
    6 m²
,
    4 m²
","
    147 m³
","
    147 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        D
        
             Wat betekent dit?
","
    Grotendeels dubbelglas
","
    Blokverwarming
","
    Aan drukke weg en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"944","
        
              Claus Sluterweg 213
        
            ","
            2012 WS Haarlem

        ","
    € 300.000 kosten koper
        
            
        
","10-4-2021","
    Bestaande bouw
","
    2019
        
            
        
","
    52 m²
","
    12 m²
,
    3 m²
","
    166 m³
","
    166 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    6e woonlaag
","
        A
        
             Wat betekent dit?
","
    HR-glas en volledig geïsoleerd
","
    Cv-ketel en gehele vloerverwarming
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"945","
        
              Prins Bernhardlaan 41 bis
        
            ","
            3555 AB Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","12-4-2021","
    Bestaande bouw
","
    1946
        
            
        
","
    80 m²
","
    7 m²
,
    6 m²
","
    237 m³
","
    237 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer
","
    3 woonlagen
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Balkon aanwezig
",NA,NA,NA,"
    Vrijstaande stenen berging
"
"946","
        
              Beeckendael 34
        
            ","
            5221 PL Den Bosch

        ","
    € 435.000 kosten koper
        
            
        
","7-4-2021","
    Bestaande bouw
","
    2011
        
            
        
","
    184 m²
","
    15 m²
,
    29 m²
","
    611 m³
","
    611 m³
","
    4 kamers (3 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, HR-glas, kierdichting, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    Aan bosrand en vrij uitzicht
","
    Balkon aanwezig en frans balkon aanwezig
",NA,NA,"
    Box
"
"947","
        
              Karel Doormanlaan 36
        
            ","
            2024 HM Haarlem

        ","
    € 225.000 kosten koper
        
            
        
","9-4-2021","
    Bestaande bouw
","
    1956
        
            
        
","
    55 m²
","
    4 m²
,
    11 m²
","
    176 m³
","
    176 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer
","
    1 woonlaag
","
        F
        
             Wat betekent dit?
","
    Dakisolatie en gedeeltelijk dubbel glas
","
    Gaskachels
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"948","
        
              Ierlandstraat 24
        
            ","
            2034 LP Haarlem

        ","
    € 225.000 kosten koper
        
            
        
","9-4-2021","
    Bestaande bouw
","
    1966
        
            
        
","
    50 m²
","
    6 m²
,
    5 m²
","
    165 m³
","
    165 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        G
            3,89
        
             Wat betekent dit?
","
    Grotendeels dubbelglas
","
    Blokverwarming
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"949","
        
              Karveelschipperstraat 87
        
            ","
            8043 EG Zwolle

        ","
    € 250.000 kosten koper
        
            
        
","2-4-2021","
    Bestaande bouw
","
    1999
        
            
        
","
    82 m²
","
    5 m²
,
    5 m²
","
    249 m³
","
    249 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    Aan water, in woonwijk en vrij uitzicht
","
    Zonneterras
","
    5 m² (2,4 meter diep en 2 meter breed)
","
    Gelegen op het zuidoosten
","
    Inpandig
"
"950","
        
              Prins Willem-Alexanderplein 10
        
            ","
            2012 KX Haarlem

        ","
    € 300.000 kosten koper
        
            
        
","3-4-2021","
    Bestaande bouw
","
    1988
        
            
        
","
    64 m²
","
    3 m²
,
    5 m²
","
    189 m³
","
    189 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2e woonlaag
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"951","
        
              Parklaan 15 C
        
            ","
            2011 KP Haarlem

        ","
    € 275.000 kosten koper
        
            
        
","3-4-2021","
    Bestaande bouw
","
    Voor 1906
        
            
        
","
    55 m²
","","
    202 m³
","
    202 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    3e woonlaag
","
Niet verplicht","
    Dubbel glas
","
    Cv-ketel en gaskachels
","
    Aan drukke weg, in centrum en in woonwijk
","
    Frans balkon aanwezig
",NA,NA,"
    Betaald parkeren en parkeervergunningen
"
"952","
        
              Kretadreef 72
        
            ","
            3562 VB Utrecht

        ","
    € 230.000 kosten koper
        
            
        
","14-4-2021","
    Bestaande bouw
","
    1965
        
            
        
","
    78 m²
","
    5 m²
,
    5 m²
","
    230 m³
","
    230 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    In woonwijk
",NA,NA,NA,"
    Inpandig
"
"953","
        
              Mr. Jan Gerritszlaan 43 I
        
            ","
            2024 KJ Haarlem

        ","
    € 289.000 kosten koper
        
            
        
","31-3-2021","
    Bestaande bouw
","
    1945-1959
        
            
        
","
    68 m²
","
    7 m²
,
    15 m²
","
    215 m³
","
    215 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1e woonlaag
","
        D
        
             Wat betekent dit?
","
    Dakisolatie en dubbel glas
","
    Cv-ketel
","
    Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht
","
    Achtertuin
","
    60 m² (4 meter diep en 15 meter breed)
","
    Gelegen op het zuidwesten bereikbaar via achterom
","
    Inpandig
"
"954","
        
              Hollandse Toren 65
        
            ","
            3511 BN Utrecht

        ","
    € 875.000 kosten koper
        
            
        
","1-4-2021","
    Bestaande bouw
","
    2012
        
            
        
","
    121 m²
","
    21 m²
","
    377 m³
","
    377 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A+
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Warmtepomp
","
    In centrum en vrij uitzicht
","
    Zonneterras
","
    3 m² (2,21 meter diep en 1,5 meter breed)
","
    Gelegen op het zuiden
","
    Aangebouwde stenen berging
"
"955","
        
              Dommeringdreef 303
        
            ","
            3562 AS Utrecht

        ","
    € 235.000 kosten koper
        
            
        
","13-4-2021","
    Bestaande bouw
","
    1965
        
            
        
","
    83 m²
","
    5 m²
,
    5 m²
","
    250 m³
","
    250 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    Aan drukke weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"956","
        
              Windstilte 101
        
            ","
            3454 SG De Meern

        ","
    € 410.000 kosten koper
        
            
        
","22-3-2021","
    Bestaande bouw
","
    1995
        
            
        
","
    89 m²
","
    10 m²
,
    6 m²
","
    300 m³
","
    300 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    Aan water, in woonwijk en vrij uitzicht
","
    Zonneterras
","
    10 m² (2,21 meter diep en 4,51 meter breed)
","
    Gelegen op het zuiden
","
    Box
"
"957","
        
              Reigerstraat 45
        
            ","
            2025 XA Haarlem

        ","
    € 215.000 kosten koper
        
            
        
","20-3-2021","
    Bestaande bouw
","
    1932
        
            
        
","
    51 m²
","
    4 m²
","
    203 m³
","
    203 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        D
            1,92
        
             Wat betekent dit?
","
    Dubbel glas en voorzetramen
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Achtertuin
","
    21 m² (6,96 meter diep en 3,22 meter breed)
","
    Gelegen op het noordoosten
","
    Aangebouwde stenen berging
"
"958","
        
              Hendrika van Tussenbroekplantsoen 5 1
        
            ","
            3533 SX Utrecht

        ","
    € 315.000 kosten koper
        
            
        
","20-3-2021","
    Bestaande bouw
","
    1955
        
            
        
","
    61 m²
","
    9 m²
,
    11 m²
","
    208 m³
","
    208 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"959","
        
              Hartingstraat 234
        
            ","
            3511 HV Utrecht

        ","
    € 419.000 kosten koper
        
            
        
","22-3-2021","
    Bestaande bouw
","
    1996
        
            
        
","
    80 m²
","
    14 m²
,
    7 m²
","
    278 m³
","
    278 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Stadsverwarming
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"960","
        
              Torreslaan 47
        
            ","
            3526 EZ Utrecht

        ","
    € 214.000 kosten koper
        
            
        
","18-3-2021","
    Bestaande bouw
","
    1988
        
            
        
","
    54 m²
","
    1 m²
,
    5 m²
,
    4 m²
","
    162 m³
","
    162 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Dubbel glas en volledig geïsoleerd
","
    Cv-ketel en gehele vloerverwarming
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"961","
        
              Tobias Asserlaan 296
        
            ","
            5042 NZ Tilburg

        ","
    € 175.000 kosten koper
        
            
        
","13-3-2021","
    Bestaande bouw
","
    1964
        
            
        
","
    56 m²
","
    7 m²
,
    5 m²
","
    180 m³
","
    180 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    4 woonlagen
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    In woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"962","
        
              Van 't Hoffstraat 75 A
        
            ","
            2014 RC Haarlem

        ","
    € 375.000 kosten koper
        
            
        
","12-3-2021","
    Bestaande bouw
","
    1927
        
            
        
","
    78 m²
","
    4 m²
","
    246 m³
","
    246 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        E
        
             Wat betekent dit?
","
    Dakisolatie en dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig en frans balkon aanwezig
",NA,NA,"
    Openbaar parkeren
"
"963","
        
              Zuid Willemsvaart 126 a
        
            ","
            5211 PB Den Bosch

        ","
    € 425.000 kosten koper
        
            
        
","10-3-2021","
    Bestaande bouw
","
    2012
        
            
        
","
    106 m²
","
    8 m²
,
    18 m²
","
    335 m³
","
    335 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    6 woonlagen
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel en warmte terugwininstallatie
","
    In centrum
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"964","
        
              Engelandlaan 28
        
            ","
            2034 NA Haarlem

        ","
    € 225.000 kosten koper
        
            
        
","7-3-2021","
    Bestaande bouw
","
    1965
        
            
        
","
    68 m²
","
    5 m²
,
    2 m²
","
    222 m³
","
    222 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Gedeeltelijk dubbel glas
","
    Cv-ketel
","
    Aan park, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"965","
        
              Van Koetsveldstraat 112
        
            ","
            3532 ET Utrecht

        ","
    € 425.000 kosten koper
        
            
        
","25-2-2021","
    Bestaande bouw
","
    2006
        
            
        
","
    109 m²
","
    10 m²
","
    338 m³
","
    338 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Parkeerplaats
"
"966","
        
              Kleverparkweg 7
        
            ","
            2023 CA Haarlem

        ","
    € 525.000 kosten koper
        
            
        
","26-2-2021","
    Bestaande bouw
","
    1908
        
            
        
","
    114 m²
","
    2 m²
,
    23 m²
","
    420 m³
","
    420 m³
","
    6 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas en muurisolatie
","
    Cv-ketel en pellet burner
","
    In woonwijk
","
    Dakterras aanwezig
",NA,NA,"
    Aangebouwde houten berging
"
"967","
        
              Jacobijnestraat 6 en 6 rd
        
            ","
            2011 TH Haarlem

        ","
    € 500.000 kosten koper
        
            
        
","20-2-2021","
    Bestaande bouw
","
    1880
        
            
        
","
    115 m²
","","
    52 m²
","
    52 m²
,
    385 m³
","
    4 kamers (2 slaapkamers)
","
    1 badkamer
","
    3 woonlagen
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in centrum
",NA,NA,NA,"
    Betaald parkeren en parkeervergunningen
"
"968","
        
              Transvaaldreef 29
        
            ","
            3564 BW Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","15-3-2021","
    Bestaande bouw
","
    2011
        
            
        
","
    96 m²
","
    4 m²
,
    6 m²
,
    5 m²
","
    315 m³
","
    315 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Stadsverwarming
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"969","
        
              Sandenburg 529
        
            ","
            2036 PN Haarlem

        ","
    € 239.000 kosten koper
        
            
        
","20-2-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    68 m²
","
    10 m²
,
    5 m²
","
    204 m³
","
    204 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2e woonlaag
","
        D
        
             Wat betekent dit?
","
    Grotendeels dubbelglas en HR-glas
","
    Blokverwarming
","
    Aan park, aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"970","
        
              Bijsterveldenlaan 361
        
            ","
            5045 ZR Tilburg

        ","
    € 335.000 kosten koper
        
            
        
","17-2-2021","
    Bestaande bouw
","
    1997
        
            
        
","
    120 m²
","
    18 m²
,
    23 m²
","
    400 m³
","
    400 m³
","
    3 kamers (1 slaapkamer)
","
    2 badkamers en 1 apart toilet
","
    4 woonlagen
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Stadsverwarming en warmte terugwininstallatie
","
    Aan park, aan water, in woonwijk, open ligging en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Parkeerkelder
"
"971","
        
              Pretoriadreef 8
        
            ","
            3564 BX Utrecht

        ","
    € 325.000 kosten koper
        
            
        
","15-3-2021","
    Bestaande bouw
","
    2011
        
            
        
","
    108 m²
","
    12 m²
,
    5 m²
","
    325 m³
","
    325 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Stadsverwarming
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"972","
        
              Korte Zijlstraat 2 rood
        
            ","
            2011 TZ Haarlem

        ","
    € 325.000 kosten koper
        
            
        
","30-1-2021","
    Bestaande bouw
","
    Voor 1906
        
            
        
","
    65 m²
","
    11 m²
","
    213 m³
","
    213 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dakisolatie, gedeeltelijk dubbel glas en muurisolatie
","
    Cv-ketel
","
    Aan rustige weg en in centrum
","
    Zonneterras
","
    11 m² (3,61 meter diep en 3,06 meter breed)
","
    Gelegen op het zuiden
","
    Betaald parkeren en parkeervergunningen
"
"973","
        
              Rector Coppenserf 75
        
            ","
            5046 AX Tilburg

        ","
    € 275.000 kosten koper
        
            
        
","21-1-2021","
    Bestaande bouw
","
    2005
        
            
        
","
    85 m²
","
    9 m²
,
    5 m²
","
    280 m³
","
    280 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    16 woonlagen
","
        B
        
             Wat betekent dit?
","
    HR-glas en volledig geïsoleerd
","
    Cv-ketel
","
    Aan park en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Box
"
